"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY"
0,0,"0",48,"0",11,52881,"No",0,"No","M","Bachelors","Manager",26,"Private",21970,1,"Van","yes",0,"0","No",2,10,"Highly Urban/ Urban"
0,0,"1",40,"1",11,50815,"Yes",0,"No","M","High School","Manager",21,"Private",18930,6,"Minivan","no",3295,"1","No",2,1,"Highly Urban/ Urban"
0,0,"0",44,"2",12,43486,"Yes",0,"No","F","High School","Blue Collar",30,"Commercial",5900,10,"SUV","no",0,"0","No",0,10,"Highly Rural/ Rural"
0,0,"0",35,"2",11,21204,"Yes",0,"No","M","High School","Clerical",74,"Private",9230,6,"Pickup","no",0,"0","Yes",0,4,"Highly Rural/ Rural"
0,0,"0",59,"0",12,87460,"No",0,"No","M","High School","Manager",45,"Private",15420,1,"Minivan","yes",44857,"2","No",4,1,"Highly Urban/ Urban"
0,0,"0",46,"0",14,51778,"No",207519,"Yes","M","Bachelors","Professional",7,"Commercial",25660,1,"Panel Truck","no",2119,"1","No",2,12,"Highly Urban/ Urban"
0,0,"0",60,"0",12,37940,"No",182739,"Yes","F","High School","Blue Collar",16,"Commercial",11290,1,"Sports Car","no",0,"0","No",0,1,"Highly Urban/ Urban"
0,0,"0",54,"0",12,33212,"No",158432,"Yes","M","<High School","Blue Collar",27,"Commercial",24000,4,"Panel Truck","no",0,"0","No",5,8,"Highly Urban/ Urban"
0,0,"2",36,"2",12,130540,"Yes",344195,"No","F","Bachelors","Blue Collar",5,"Commercial",27200,4,"Minivan","no",0,"0","No",0,9,"Highly Rural/ Rural"
0,0,"0",50,"0",8,167469,"No",0,"No","F","PhD","Doctor",22,"Private",34150,4,"Sports Car","no",0,"0","No",3,1,"Highly Urban/ Urban"
0,0,"0",42,"0",11,52988,"No",176275,"Yes","M","High School","Blue Collar",24,"Commercial",23450,1,"Minivan","no",0,"0","No",2,11,"Highly Rural/ Rural"
0,0,"0",41,"2",7,17755,"Yes",148815,"No","F","<High School","Clerical",29,"Private",14480,1,"Minivan","yes",0,"0","Yes",2,1,"Highly Urban/ Urban"
1,3653.86349565225,"1",37,"2",13,51778,"Yes",0,"No","F","High School","Blue Collar",62,"Commercial",9360,4,"Sports Car","no",0,"0","No",0,8,"Highly Urban/ Urban"
0,0,"0",36,"3",12,56048,"No",137836,"Yes","M","Masters","Lawyer",15,"Private",10700,6,"Minivan","no",2045,"2","No",2,16,"Highly Urban/ Urban"
0,0,"0",34,"3",12,22510,"No",123888,"Yes","M","High School","Clerical",26,"Private",14690,4,"Minivan","yes",0,"0","Yes",0,1,"Highly Rural/ Rural"
1,4125.9879542792,"0",35,"2",12,51778,"Yes",0,"No","F","<High School","Blue Collar",43,"Private",9730,5,"SUV","no",0,"0","No",4,4,"Highly Urban/ Urban"
1,2973.7564537085,"2",44,"2",14,45576,"No",156623,"Yes","F","<High School","Blue Collar",27,"Private",1500,4,"Sports Car","no",25276,"1","No",8,8,"Highly Urban/ Urban"
0,0,"0",48,"0",9,61509,"No",195438,"Yes","M","Masters","Unknown",40,"Commercial",23230,6,"Panel Truck","yes",0,"0","No",1,17,"Highly Urban/ Urban"
1,3892.26412469235,"0",62,"0",15,40656,"No",208242,"Yes","F","High School","Clerical",57,"Private",9170,4,"Sports Car","no",42342,"2","Yes",2,7,"Highly Urban/ Urban"
1,3884.4451888157,"0",39,"0",11,33727,"No",0,"No","F","Bachelors","Clerical",27,"Private",10850,1,"SUV","no",8350,"1","No",2,12,"Highly Urban/ Urban"
0,0,"0",38,"0",0,0,"No",0,"Yes","M","High School","Student",41,"Commercial",17470,10,"Van","no",3157,"2","No",5,6,"Highly Rural/ Rural"
0,0,"0",39,"2",0,0,"No",69369,"Yes","F","High School","Home Maker",36,"Private",8750,4,"Sports Car","no",0,"0","No",0,8,"Highly Urban/ Urban"
0,0,"2",44,"2",13,142588,"No",365256,"Yes","M","Masters","Manager",28,"Private",21790,6,"Minivan","yes",0,"0","No",2,9,"Highly Urban/ Urban"
0,0,"0",45,"0",12,32394,"No",0,"No","F","High School","Clerical",33,"Private",13770,4,"SUV","no",0,"0","No",0,1,"Highly Urban/ Urban"
0,0,"0",43,"1",0,0,"No",70170,"Yes","F","Bachelors","Home Maker",26,"Private",8350,1,"SUV","no",0,"0","No",3,7,"Highly Urban/ Urban"
1,3928.44429273761,"0",64,"0",15,31738,"No",197010,"Yes","M","<High School","Blue Collar",23,"Commercial",14620,6,"SUV","no",3994,"2","No",0,1,"Highly Urban/ Urban"
0,0,"0",60,"0",9,125893,"No",0,"No","M","PhD","Unknown",21,"Commercial",7500,9,"Pickup","yes",7278,"2","No",4,15,"Highly Urban/ Urban"
0,0,"2",35,"4",6,154577,"Yes",397868,"No","F","Bachelors","Blue Collar",27,"Private",20450,6,"SUV","no",4645,"1","No",3,1,"Highly Urban/ Urban"
0,0,"0",52,"0",11,79348,"No",270032,"Yes","F","High School","Manager",23,"Private",13150,11,"SUV","no",0,"0","No",2,1,"Highly Urban/ Urban"
0,0,"0",56,"2",14,192089,"No",471701,"Yes","M","PhD","Unknown",31,"Commercial",21100,1,"Van","yes",0,"0","No",0,8,"Highly Urban/ Urban"
0,0,"0",55,"0",15,108152,"No",329756,"Yes","F","Masters","Manager",18,"Private",12320,1,"SUV","no",0,"0","Yes",0,15,"Highly Urban/ Urban"
1,4409.05383518738,"0",26,"0",8,53244,"No",0,"No","M","Bachelors","Professional",28,"Commercial",20920,3,"Van","yes",6224,"1","No",1,8,"Highly Urban/ Urban"
0,0,"0",52,"0",8,88560,"No",244028,"Yes","M","Masters","Lawyer",14,"Private",13630,1,"Minivan","no",0,"0","No",4,17,"Highly Urban/ Urban"
0,0,"0",41,"0",12,110386,"No",335488,"Yes","M","Masters","Unknown",21,"Commercial",16640,1,"Van","yes",0,"0","No",2,14,"Highly Urban/ Urban"
0,0,"0",49,"0",12,53765,"No",0,"No","F","Bachelors","Professional",5,"Private",12360,4,"SUV","no",0,"0","No",0,1,"Highly Urban/ Urban"
0,0,"0",30,"2",11,26226,"No",165178,"Yes","F","High School","Clerical",68,"Private",23610,4,"SUV","no",0,"0","No",1,1,"Highly Rural/ Rural"
0,0,"1",34,"3",12,29431,"No",143149,"Yes","F","<High School","Clerical",12,"Private",22560,1,"Minivan","no",0,"0","No",1,8,"Highly Urban/ Urban"
0,0,"0",44,"0",14,44790,"No",205463,"Yes","F","Masters","Unknown",5,"Commercial",19800,4,"Pickup","no",37163,"1","No",4,9,"Highly Urban/ Urban"
0,0,"0",49,"0",11,38326,"No",133010,"Yes","M","Masters","Lawyer",5,"Private",10230,4,"Pickup","yes",0,"0","No",0,17,"Highly Urban/ Urban"
1,3950.46254589488,"1",40,"2",12,35260,"No",141167,"Yes","F","<High School","Blue Collar",30,"Private",9740,7,"SUV","no",2235,"1","No",8,1,"Highly Urban/ Urban"
1,3912.77653666763,"0",26,"3",9,33283,"No",104323,"Yes","M","Bachelors","Blue Collar",37,"Commercial",7690,10,"Pickup","no",0,"0","No",2,16,"Highly Urban/ Urban"
0,0,"0",46,"0",7,26697,"No",134863,"Yes","F","<High School","Clerical",43,"Private",15080,6,"SUV","no",0,"0","Yes",4,1,"Highly Urban/ Urban"
0,0,"0",50,"0",7,73308,"No",240645,"No","M","Masters","Lawyer",38,"Private",18720,7,"Van","no",0,"0","No",2,19,"Highly Rural/ Rural"
1,5032.50367133623,"0",62,"0",12,22181,"No",185459,"No","F","High School","Clerical",24,"Private",17880,7,"Sports Car","no",9873,"3","No",5,1,"Highly Urban/ Urban"
0,0,"0",53,"1",13,52759,"No",164906,"Yes","F","Bachelors","Professional",41,"Private",24160,9,"Minivan","no",0,"0","No",0,13,"Highly Rural/ Rural"
0,0,"0",44,"0",4,146267,"No",357184,"Yes","M","Masters","Unknown",51,"Commercial",6720,4,"Pickup","no",0,"0","No",0,10,"Highly Urban/ Urban"
0,0,"0",48,"1",10,84629,"No",308848,"Yes","F","Bachelors","Manager",35,"Private",15060,7,"SUV","no",9592,"1","No",0,10,"Highly Urban/ Urban"
1,4181.77317301012,"1",45,"2",17,111268,"No",288071,"Yes","F","Masters","Lawyer",46,"Private",24600,1,"Van","no",28026,"2","Yes",2,10,"Highly Urban/ Urban"
0,0,"0",41,"0",10,97700,"No",0,"No","F","Bachelors","Home Maker",43,"Private",26250,8,"Pickup","no",0,"0","No",0,6,"Highly Rural/ Rural"
